─── Stage 3: Scrape page content ───
Gyms with relevant pages: 10251
Will process:             10251
Concurrency:              12


  12/10251 — scraped 11, all-failed 1  
  24/10251 — scraped 23, all-failed 1  
  36/10251 — scraped 35, all-failed 1  
  48/10251 — scraped 47, all-failed 1  
  60/10251 — scraped 58, all-failed 2  
  72/10251 — scraped 68, all-failed 4  
  84/10251 — scraped 77, all-failed 7  
  96/10251 — scraped 88, all-failed 8  
  108/10251 — scraped 99, all-failed 9  
  120/10251 — scraped 111, all-failed 9  
  132/10251 — scraped 123, all-failed 9  
  144/10251 — scraped 133, all-failed 11  
  156/10251 — scraped 144, all-failed 12  
  168/10251 — scraped 156, all-failed 12  
  180/10251 — scraped 168, all-failed 12  
  192/10251 — scraped 180, all-failed 12  
  204/10251 — scraped 192, all-failed 12  
  216/10251 — scraped 202, all-failed 14  
  228/10251 — scraped 214, all-failed 14  
  240/10251 — scraped 226, all-failed 14  
  252/10251 — scraped 238, all-failed 14  
  264/10251 — scraped 250, all-failed 14  
  276/10251 — scraped 262, all-failed 14  
  288/10251 — scraped 273, all-failed 15  
  300/10251 — scraped 285, all-failed 15  
  312/10251 — scraped 297, all-failed 15  
  324/10251 — scraped 308, all-failed 16  
  336/10251 — scraped 320, all-failed 16  
  348/10251 — scraped 331, all-failed 17  
  360/10251 — scraped 343, all-failed 17  
  372/10251 — scraped 354, all-failed 18  
  384/10251 — scraped 363, all-failed 21  
  396/10251 — scraped 375, all-failed 21  
  408/10251 — scraped 386, all-failed 22  
  420/10251 — scraped 398, all-failed 22  
  432/10251 — scraped 409, all-failed 23  
  444/10251 — scraped 421, all-failed 23  
  456/10251 — scraped 433, all-failed 23  
  468/10251 — scraped 444, all-failed 24  
  480/10251 — scraped 456, all-failed 24  
  492/10251 — scraped 468, all-failed 24  
  504/10251 — scraped 480, all-failed 24  
  516/10251 — scraped 492, all-failed 24  
  528/10251 — scraped 504, all-failed 24  
  540/10251 — scraped 515, all-failed 25  
  552/10251 — scraped 527, all-failed 25  
  564/10251 — scraped 538, all-failed 26  
  576/10251 — scraped 549, all-failed 27  
  588/10251 — scraped 561, all-failed 27  
  600/10251 — scraped 572, all-failed 28  
  612/10251 — scraped 584, all-failed 28  
  624/10251 — scraped 596, all-failed 28  
  636/10251 — scraped 608, all-failed 28  
  648/10251 — scraped 620, all-failed 28  
  660/10251 — scraped 632, all-failed 28  
  672/10251 — scraped 643, all-failed 29  
  684/10251 — scraped 655, all-failed 29  
  696/10251 — scraped 667, all-failed 29  
  708/10251 — scraped 677, all-failed 31  
  720/10251 — scraped 689, all-failed 31  
  732/10251 — scraped 700, all-failed 32  
  744/10251 — scraped 712, all-failed 32  
  756/10251 — scraped 723, all-failed 33  
  768/10251 — scraped 735, all-failed 33  
  780/10251 — scraped 747, all-failed 33  
  792/10251 — scraped 758, all-failed 34  
  804/10251 — scraped 770, all-failed 34  
  816/10251 — scraped 782, all-failed 34  
  828/10251 — scraped 794, all-failed 34  
  840/10251 — scraped 806, all-failed 34  
  852/10251 — scraped 818, all-failed 34  
  864/10251 — scraped 830, all-failed 34  
  876/10251 — scraped 841, all-failed 35  
  888/10251 — scraped 853, all-failed 35  
  900/10251 — scraped 865, all-failed 35  
  912/10251 — scraped 877, all-failed 35  
  924/10251 — scraped 889, all-failed 35  
  936/10251 — scraped 901, all-failed 35  
  948/10251 — scraped 913, all-failed 35  
  960/10251 — scraped 924, all-failed 36  
  972/10251 — scraped 936, all-failed 36  
  984/10251 — scraped 947, all-failed 37  
  996/10251 — scraped 959, all-failed 37  
  1008/10251 — scraped 970, all-failed 38  
  1020/10251 — scraped 982, all-failed 38  
  1032/10251 — scraped 994, all-failed 38  
  1044/10251 — scraped 1006, all-failed 38  
  1056/10251 — scraped 1018, all-failed 38  
  1068/10251 — scraped 1030, all-failed 38  
  1080/10251 — scraped 1042, all-failed 38  
  1092/10251 — scraped 1054, all-failed 38  
  1104/10251 — scraped 1064, all-failed 40  
  1116/10251 — scraped 1076, all-failed 40  
  1128/10251 — scraped 1086, all-failed 42  
  1140/10251 — scraped 1098, all-failed 42  
  1152/10251 — scraped 1110, all-failed 42  
  1164/10251 — scraped 1121, all-failed 43  
  1176/10251 — scraped 1133, all-failed 43  
  1188/10251 — scraped 1145, all-failed 43  
  1200/10251 — scraped 1157, all-failed 43  
  1212/10251 — scraped 1169, all-failed 43  
  1224/10251 — scraped 1179, all-failed 45  
  1236/10251 — scraped 1191, all-failed 45  
  1248/10251 — scraped 1202, all-failed 46  
  1260/10251 — scraped 1214, all-failed 46  
  1272/10251 — scraped 1226, all-failed 46  
  1284/10251 — scraped 1238, all-failed 46  
  1296/10251 — scraped 1250, all-failed 46  
  1308/10251 — scraped 1261, all-failed 47  
  1320/10251 — scraped 1271, all-failed 49  
  1332/10251 — scraped 1283, all-failed 49  
  1344/10251 — scraped 1294, all-failed 50  
  1356/10251 — scraped 1306, all-failed 50  
  1368/10251 — scraped 1318, all-failed 50  
  1380/10251 — scraped 1330, all-failed 50  
  1392/10251 — scraped 1342, all-failed 50  
  1404/10251 — scraped 1354, all-failed 50  
  1416/10251 — scraped 1366, all-failed 50  
