─── Stage 3: Scrape page content ───
Gyms with relevant pages: 2036
Will process:             2036
Concurrency:              6


  6/2036 — scraped 6, all-failed 0  
  12/2036 — scraped 12, all-failed 0  
  18/2036 — scraped 18, all-failed 0  
  24/2036 — scraped 24, all-failed 0  
  30/2036 — scraped 30, all-failed 0  
  36/2036 — scraped 36, all-failed 0  
  42/2036 — scraped 42, all-failed 0  
  48/2036 — scraped 47, all-failed 1  
  54/2036 — scraped 53, all-failed 1  
  60/2036 — scraped 59, all-failed 1  
  66/2036 — scraped 65, all-failed 1  
  72/2036 — scraped 71, all-failed 1  
  78/2036 — scraped 76, all-failed 2  
  84/2036 — scraped 82, all-failed 2  
  90/2036 — scraped 87, all-failed 3  
  96/2036 — scraped 93, all-failed 3  
  102/2036 — scraped 99, all-failed 3  
  108/2036 — scraped 104, all-failed 4  
  114/2036 — scraped 110, all-failed 4  
  120/2036 — scraped 116, all-failed 4  
  126/2036 — scraped 122, all-failed 4  
  132/2036 — scraped 128, all-failed 4  
  138/2036 — scraped 134, all-failed 4  
  144/2036 — scraped 140, all-failed 4  
  150/2036 — scraped 146, all-failed 4  
  156/2036 — scraped 152, all-failed 4  
  162/2036 — scraped 158, all-failed 4  
  168/2036 — scraped 164, all-failed 4  
  174/2036 — scraped 170, all-failed 4  
  180/2036 — scraped 176, all-failed 4  
  186/2036 — scraped 182, all-failed 4  
  192/2036 — scraped 187, all-failed 5  
  198/2036 — scraped 193, all-failed 5  
  204/2036 — scraped 199, all-failed 5  
  210/2036 — scraped 205, all-failed 5  
  216/2036 — scraped 211, all-failed 5  
  222/2036 — scraped 216, all-failed 6  
  228/2036 — scraped 221, all-failed 7  
  234/2036 — scraped 227, all-failed 7  
  240/2036 — scraped 233, all-failed 7  
  246/2036 — scraped 239, all-failed 7  
  252/2036 — scraped 245, all-failed 7  
  258/2036 — scraped 251, all-failed 7  
  264/2036 — scraped 257, all-failed 7  
  270/2036 — scraped 263, all-failed 7  
  276/2036 — scraped 268, all-failed 8  
  282/2036 — scraped 274, all-failed 8  
  288/2036 — scraped 280, all-failed 8  
  294/2036 — scraped 286, all-failed 8  
  300/2036 — scraped 292, all-failed 8  
  306/2036 — scraped 298, all-failed 8  
  312/2036 — scraped 303, all-failed 9  
  318/2036 — scraped 309, all-failed 9  
  324/2036 — scraped 315, all-failed 9  
  330/2036 — scraped 321, all-failed 9  
  336/2036 — scraped 327, all-failed 9  
  342/2036 — scraped 333, all-failed 9  
  348/2036 — scraped 339, all-failed 9  
  354/2036 — scraped 345, all-failed 9  
  360/2036 — scraped 351, all-failed 9  
  366/2036 — scraped 357, all-failed 9  
  372/2036 — scraped 363, all-failed 9  
  378/2036 — scraped 369, all-failed 9  
  384/2036 — scraped 375, all-failed 9  
  390/2036 — scraped 381, all-failed 9  
  396/2036 — scraped 386, all-failed 10  
  402/2036 — scraped 392, all-failed 10  
  408/2036 — scraped 398, all-failed 10  
  414/2036 — scraped 404, all-failed 10  
  420/2036 — scraped 410, all-failed 10  
  426/2036 — scraped 416, all-failed 10  
  432/2036 — scraped 422, all-failed 10  
  438/2036 — scraped 428, all-failed 10  
  444/2036 — scraped 434, all-failed 10  
  450/2036 — scraped 440, all-failed 10  
  456/2036 — scraped 446, all-failed 10  
  462/2036 — scraped 452, all-failed 10  
  468/2036 — scraped 458, all-failed 10  
  474/2036 — scraped 464, all-failed 10  
  480/2036 — scraped 470, all-failed 10  
  486/2036 — scraped 476, all-failed 10  
  492/2036 — scraped 482, all-failed 10  
  498/2036 — scraped 488, all-failed 10  
  504/2036 — scraped 494, all-failed 10  
  510/2036 — scraped 500, all-failed 10  
  516/2036 — scraped 506, all-failed 10  
  522/2036 — scraped 512, all-failed 10  
  528/2036 — scraped 518, all-failed 10  
  534/2036 — scraped 523, all-failed 11  
  540/2036 — scraped 529, all-failed 11  
  546/2036 — scraped 534, all-failed 12  
  552/2036 — scraped 540, all-failed 12  
  558/2036 — scraped 546, all-failed 12  
  564/2036 — scraped 551, all-failed 13  
  570/2036 — scraped 557, all-failed 13  
  576/2036 — scraped 563, all-failed 13  
  582/2036 — scraped 569, all-failed 13  
  588/2036 — scraped 574, all-failed 14  
  594/2036 — scraped 580, all-failed 14  
  600/2036 — scraped 586, all-failed 14  
  606/2036 — scraped 592, all-failed 14  
  612/2036 — scraped 598, all-failed 14  
  618/2036 — scraped 604, all-failed 14  
  624/2036 — scraped 609, all-failed 15  
  630/2036 — scraped 615, all-failed 15  
  636/2036 — scraped 621, all-failed 15  
  642/2036 — scraped 627, all-failed 15  
  648/2036 — scraped 633, all-failed 15  
  654/2036 — scraped 639, all-failed 15  
  660/2036 — scraped 645, all-failed 15  
  666/2036 — scraped 651, all-failed 15  
  672/2036 — scraped 657, all-failed 15  
  678/2036 — scraped 662, all-failed 16  
  684/2036 — scraped 668, all-failed 16  
  690/2036 — scraped 674, all-failed 16  
  696/2036 — scraped 680, all-failed 16  
  702/2036 — scraped 686, all-failed 16  
  708/2036 — scraped 692, all-failed 16  
  714/2036 — scraped 697, all-failed 17  
  720/2036 — scraped 703, all-failed 17  
  726/2036 — scraped 709, all-failed 17  
  732/2036 — scraped 715, all-failed 17  
  738/2036 — scraped 721, all-failed 17  
  744/2036 — scraped 726, all-failed 18  
  750/2036 — scraped 731, all-failed 19  
  756/2036 — scraped 737, all-failed 19  
  762/2036 — scraped 742, all-failed 20  
  768/2036 — scraped 748, all-failed 20  
  774/2036 — scraped 754, all-failed 20  
  780/2036 — scraped 759, all-failed 21  
  786/2036 — scraped 765, all-failed 21  
  792/2036 — scraped 771, all-failed 21  
  798/2036 — scraped 776, all-failed 22  
  804/2036 — scraped 782, all-failed 22  
  810/2036 — scraped 788, all-failed 22  
  816/2036 — scraped 794, all-failed 22  
  822/2036 — scraped 800, all-failed 22  
  828/2036 — scraped 806, all-failed 22  
  834/2036 — scraped 812, all-failed 22  
  840/2036 — scraped 818, all-failed 22  
  846/2036 — scraped 822, all-failed 24  
  852/2036 — scraped 827, all-failed 25  
  858/2036 — scraped 833, all-failed 25  
  864/2036 — scraped 839, all-failed 25  
  870/2036 — scraped 844, all-failed 26  
  876/2036 — scraped 850, all-failed 26  
  882/2036 — scraped 856, all-failed 26  
  888/2036 — scraped 862, all-failed 26  
  894/2036 — scraped 867, all-failed 27  
  900/2036 — scraped 873, all-failed 27  
  906/2036 — scraped 879, all-failed 27  
  912/2036 — scraped 885, all-failed 27  
  918/2036 — scraped 891, all-failed 27  
  924/2036 — scraped 897, all-failed 27  
  930/2036 — scraped 903, all-failed 27  
  936/2036 — scraped 908, all-failed 28  
  942/2036 — scraped 914, all-failed 28  
  948/2036 — scraped 919, all-failed 29  
  954/2036 — scraped 925, all-failed 29  
  960/2036 — scraped 931, all-failed 29  
  966/2036 — scraped 937, all-failed 29  
  972/2036 — scraped 943, all-failed 29  
  978/2036 — scraped 949, all-failed 29  
  984/2036 — scraped 953, all-failed 31  
  990/2036 — scraped 958, all-failed 32  
  996/2036 — scraped 962, all-failed 34  
  1002/2036 — scraped 967, all-failed 35  
  1008/2036 — scraped 971, all-failed 37  
  1014/2036 — scraped 977, all-failed 37  
  1020/2036 — scraped 982, all-failed 38  
  1026/2036 — scraped 987, all-failed 39  
  1032/2036 — scraped 993, all-failed 39  
